id	sentence1	sentence2	is_duplicate
131753 22da81b5-7ffb-4075-ba80-198b73108d6b	What are some of the best mobile phones gadgets?	Which are the best and the most useful smart phone gadgets?	1.0
51636 2506232a-99a1-4f4c-8fdf-75c7a72ccfcc	"What are ""standard"" ping response times?"	What is the full form of a PING command?	0.0
85213 7dad5b49-b8ff-4dbf-bb00-dfca51b00c64	Why would someone's soul cause their body to burn to ash suddenly?	Can your own soul cause your body to catch aflame?	1.0
84449 ed97f191-0ac6-43ef-ae42-92c7a69b61b4	What are the main imports and exports of Venezuela, and how does Venezuela's industry compare to Belize's?	What are the main imports and exports of Venezuela, and how does Venezuela's industry compare to Aruba's?	0.0
246577 f6c8fbf5-e844-4720-806e-0d4bef916d8a	What do I do if I feel down with my girlfriend?	I feel bored with my girlfriend, what should I do?	0.0
312496 34066431-b1f2-4788-a50d-36f1eee2ff33	How do I know if my phone is tapped?	How can I find out who tapped into my phone?	0.0
117752 a8592c3f-7b8b-414f-80ce-b29c432fe585	Does eating burnt food cause cancer?	Is it bad to eat burnt food?	0.0
2123 4f87f7d4-48e6-4ef3-b073-40cc71392818	Can you get pregnant 5 days before ovulation? Why or why not?	Can you get pregnant 5 days after your periods?	0.0
138185 d9e5affb-0eb0-44a0-a094-2dae09b5e76e	What is the significance of numbers printed on Cricket players' jerseys?	Who decides the colour of each country's cricket team's jersey?	0.0
195450 896653cf-b97a-4ac0-8680-785d05381082	I am 26 year old but still don't have full cheek beard. What should I do to have full face beard?	I am 26 year old Indian male. I have very little facial hair on my chin and mustache area. Is there any way I can get a full-face beard?	1.0
50090 34e3d2fd-c88d-47e5-a00c-dac0571092fb	How do I get slim as soon as possible?	Can a satellite be put in orbit around the moon and stay there for at least a few decades? Or would Earth's influence drag it away over time?	0.0
173618 1409be04-4b32-44bf-9f3c-c1b349fc1191	How can I create a website like logotournament.com?	How do I create a website like meaww.com?	0.0
331679 fa9c4cc8-019e-4e71-9ac7-8628c91acdf4	What is a credit hour?	How do the credit hours work in college?	1.0
37092 c958e2a0-b47e-458f-bfbc-208c729875dc	Should people over 87 not be allowed to vote?	Should people over 99 not be allowed to vote?	1.0
66029 766cf877-4262-45a8-9590-e65fc266d46b	If CO2 is a natural coolant, then why and how does it contribute to global warming?	How does CO2 in the atmosphere contribute to global warming?	1.0
292080 04b2344e-60a1-4136-90b5-daa5a67e0ec4	What animals can I eat raw?	What meats are safe to eat raw?	1.0
51359 9625f2e6-2d4e-4196-9aaf-e49d4d636094	What are the best productivity hacks of startup CEOs?	What are some of your best productivity hacks as a startup CEO?	1.0
354586 7a046c38-8b1a-45b7-bb03-44ebdb48aa4d	What is the mathematical formula for the area of a circle? How is it applied?	What is the formula used to figure out the square feet of a circle?	1.0
391438 4b779d21-3f10-4ba1-a4a0-ac0c8e63b12f	Who is the Indian president in 2015?	Who is the current President of India?	0.0
41827 a5fb693b-f5b8-4d04-a04c-bc39daf8201b	"Is there a logical explanation for me seeing a ""running"" shadow in the middle of a crowded subway platform that was unnoticed by anyone?"	What are the benefits of trail running vs. road running?	0.0
277304 bb31bfb7-fa8d-4c15-9af3-54e5336fcf65	What do guys think about the girl they like?	Why do girls think that the guys they like also like them?	0.0
77067 5a17de83-9511-49bf-9ef4-7ea73ca04bd3	Could modern army beat Pokemon army?	Are felicitation speeches considered to be motivational?	0.0
360884 af7358b8-fd63-4c3f-9f9c-3f70daff428d	What part of speech is tell?	"What part of speech is ""this""?"	0.0
171507 ab9b2c08-1011-42f2-9eda-959cfb13ba48	How do I stop loving someone who broke my heart?	How do you get over someone who broke your heart?	1.0
252611 32898d3e-9dff-410c-b8d7-39869017ffc7	What is the future of food delivery?	Can you see who views your Instagram?	0.0
99134 87f2c240-a83b-44a0-9ac7-6ecf00057195	Can you have a false positive DNA test?	When analyzing DNA to determine the sex of a dioecious plant eg cannabis is there any possibility of a false positive? Why or why not?	0.0
319204 0b49b967-73cf-475e-bb54-499f603807e3	What is happiness according to your view?	What would you choose if success is not defined in accordance with your happiness?	0.0
382703 7225a3db-6286-468f-87a1-6c06f2428f72	How can a boy become the world's youngest billionaire?	Who is the world's youngest entrepreneur?	1.0
336569 f3787757-9a1b-41f9-ae08-5a2507349c56	What programming language should I learn if I want to do a 2D MMORPG game?	What kind of programming language should I learn if I want to debug a game-making website like Zondle.com?	1.0
133132 125e8ee0-8873-4a7b-8137-deb3c5430dbb	How do I deal with road rage in mumbai?	How do you deal with your road rage?	0.0
367358 d79c4023-c167-44d6-bf36-a4ad002f1398	What is the motivation for success in your life?	What's your motivation in life?	0.0
257427 ea3586fb-4e44-4dba-b315-6fa7ee61c006	How can deep learning be used with video data?	Can Dropout be used to avoid overfitting a deep learning model with very small training data?	0.0
9112 7362ecf7-9859-494f-9ecc-31f89da29fe2	How do you stop Mini Westie puppies from chewing your shoes?	What is the best way to stop a dog from inappropriate chewing?	0.0
192451 34f0247c-d920-4985-b0b7-b113d3c677f0	Was Jesus a Jew?	Is Jesus Christ a Jew or a Gentile?	1.0
363312 053dd544-e95e-4fc3-949f-ebdab0579818	How can I stop temptation to watch porn?	How do I stop masturbating/watching porn? I can't/don't masturbate without watching porn.	1.0
16204 6626ca42-81ac-4ead-b98c-2f9ded1c7d9f	Who are the best personal financial advisors in Kitchener, ON for people saving for retirement? What were your experiences with them?	Who are the best personal financial advisors in Toronto for people saving for retirement? What were your experiences with them?	0.0
334774 6f85986c-2202-40c9-9b9d-7ea611567195	How do you commit suicide?	What is the easiest way to commite suicide?	1.0
345821 4466432a-abe6-458d-baef-6dc5e25f7052	What are some name suggestions for an interior design starting business?	What types of clients do I market to when starting up an interior design service?	0.0
185556 9c5daec7-2ec6-4391-8b41-ca1b6029ad33	What are the materials used for making motorcycle Clutch plate?	What is the material used for making clutch plates?	0.0
404273 7d8fbe42-7b07-4d97-91a9-5b1400a5115d	What happens if you put milk in a coffee maker?	What would happen if I put milk instead of water in my automatic drip coffee maker?	1.0
342933 29a7ecec-022b-49c5-94ec-3e52eb941cc3	Which was the world’s first smartphone?	What was the first smartphone?	1.0
275335 c0673752-3af9-4cf4-9f10-ad4072af3dad	What are the best skateboard trucks and why? How are they designed and how are they made?	Which brands have the best skateboarding trucks?	0.0
273773 dcd32531-4685-444e-9cd7-4c24fd173cd3	How do rating agencies work?	How do credit rating agencies rate companies?	1.0
202804 7a0fffcb-3876-49d0-8ee4-77777583555c	Does chiropractic work?	Does chiropracty work?	1.0
133551 67f95ef0-32ad-44e8-b902-b1b2057498d3	Are racist or hate propaganda Qs (Calling a specific community as pigs as in below snaps) allowed in Quora?	Islam: Why is pork forbidden in Islam?	0.0
358298 f23f8f0b-4ecc-4aa6-931b-441421baa849	How does one learn how to play chess?	What is the best way to learn chess?	1.0
401591 95ba88ba-0da2-4225-8088-a0056631e919	What are some mind-blowing facts about famous anime one piece?	Why don't we have any anime like One Piece in India?	0.0
370828 aab3fd74-d659-4193-ab2c-f891982b8c8d	How much should I expect to pay for a 1-car caltrain wrap advertisement?	Is Caltrain taking steps to put more power outlets in cars?	0.0
73919 eb4cd675-7e34-4974-beb4-0fef71b1a72c	Double a penny every day for 30 days. How many dollars do you have?	A and B can complete a job in 30 and 20 days respectively. They start working together and B leaves 5 days before the work is finished. In how many days is the total work finished?	0.0
154463 86e28541-c6be-42fa-81b2-3829a412258f	Why doesn't Apple launch a dual SIM iPhone?	Is Apple likely to release a dual-SIM iPhone?	1.0
195974 9edd88b1-79af-4e7b-960d-c383e04824cd	How come Pakistan was ahead of India in economical growth till 1970?	Was Pakistan more prosperous than India till 1970?	1.0
394061 4ae1221c-53f8-488e-89b5-3b9cce5c3d1a	Does the iPhone 6 support OTG?	Why doesn't the iPhone 6 Plus support multi-touch?	0.0
356194 724b54e2-56c0-4f3a-8af6-ee453d28f3ec	How do I get over my first break up?	How do I get over an ex that I dated for two years?	1.0
173855 4369bc6d-a440-4d81-a6cd-187e773a35db	Why is Soy milk bad for you?	Is soy milk healthy?	0.0
351663 7f38c5a3-bd7e-4211-bc38-9e0a5f902e5f	When do guys find girls most attractive?	What do guys find most attractive about a girl?	0.0
2618 3d148283-0d0d-49db-9234-27cad6b5e1e9	Why do computers have a hard time emulating console games?	Where can I found experienced horse fence consultant in Sydney?	0.0
173645 e0e993b4-414c-4915-a26e-e218e52849b4	Should I be going to college if I don't exactly know what I want to major in?	How do I know what college I want to go to if I don't even know what I want to major in?	0.0
274632 deef05a1-f8ff-4bd7-9b80-fc6bace5bd5f	Which is the best karaoke app?	Which is the best karaoke app with all songs?	1.0
235194 86b632c5-302a-4252-a71a-3b3a530c387f	How do you know if your third eye is open?	How do you open your third eye and know that it has opened?	0.0
226170 10b079f8-0520-44c2-8c97-8a0bbef96169	What are other successful career options after 12 with PCB if you couldn't clear the AIPMT?	What are the career options after 12 in PCB other than medical?	1.0
221920 8753fd3f-173d-4f21-8985-555e501c7248	Do I lose followers if I temporarily disable my Instagram account?	Instagram can temporarily disable once in a week. What will happen after a week if I'm not reactivating it yet?	0.0
69347 272d685d-8959-4754-93c2-b33e0d03502f	Where can I download ISO PS4 games?	How do I make an ISO from a PS4 game I own?	0.0
4936 e3b30669-f5d5-4148-8fc9-6027e019d6be	How do I keep the faith when everything is going wrong in my life?	What is the purpose of life?	0.0
289410 7ed5b44e-50c8-4574-87cf-2cf0d9eaab7e	Why is Nevada considered a swing state and how is it important to the elections?	Why is Ohio considered a swing state and how is it important to the elections?	0.0
334783 2d753ace-d846-4d4e-ac5e-4d2a95f3f467	Modafinil really increase my concentration?	What is FMCG products?	0.0
395315 40858f81-606b-49ba-8215-11f16eb1e4fd	What is the difference between electricity and current?	what is the difference between current and electricity?	1.0
179636 59b71c4c-610d-4992-a0b2-4fda9d9a96be	What wire should be used for an electronic component that will move back and forth hundreds of thousands of times?	Why do we take 3dB gain in electronic components?	0.0
181991 52274c01-2636-4e62-817c-852387563cbf	How do apps like Telegram make money?	How does the Telegram app make money?	1.0
223595 94252551-6c4f-4091-a3ce-fe0c73088eb3	Is Facebook still popular?	Why is Facebook so popular? Is it profitable to users?	0.0
104902 b77e9f36-5540-46b6-9363-e9fc2f3098f1	Should an electric blanket be under or over your covers? Why?	Why does my cat like to burrow under blankets?	0.0
36195 f93b63f5-8f1c-4e37-9491-2c1ae3d6c59c	How do people find me on instagram?	How do some people find me on Instagram?	0.0
112634 233aa8df-be54-44c2-b724-d6175710a3d3	How is it possible for Donald Trump to force Mexico to pay for the wall?	How will Mexico pay for wall?	1.0
15095 387a815b-f7dc-47aa-9e04-2688ea1ba855	How do I learn mathematics for machine learning?	What are the mathematics prerequisites for understanding Machine Learning?	1.0
397085 016c503b-29c0-4411-bd18-9357bf8232b6	How do I learn more English vocabulary?	What is the best way to learn English vocabulary?	1.0
35970 decb5511-7ec0-4a31-b096-4cf8c60be183	Which option is better for a career, Android or iOS?	Android (operating system): Is iOS better than Android and Windows Phone?	0.0
325977 a79def06-37bd-4e7d-9e51-64a5fecde949	Does Quora secretly target some users they don’t like for limited distribution of their content?	How much Millions we can keep in savings account?	0.0
262094 16f0b8d0-980a-4e35-9be5-6294db533d44	How much power does the President of United States really have?	How much power does the President of the United States have?	1.0
389909 549b71c3-8cc4-4fbe-8330-2dccc71b6a65	Where can I get an affordable and hassle free service for property transaction in Sydney?	Where can I get all types of legal advisory services for property transaction in Sydney?	1.0
293928 84b728af-afc9-455e-8c89-e3aaac9284a2	Daniel Ek: Are there any future plans of releasing Spotify in India?	Daniel Ek: What are the hardships for Spotify to be launched in India?	1.0
165246 5253ead7-364e-46ca-9688-3942b352a86a	What are the most interesting products and innovations that Frost Bank is coming out with in 2016?	What are the most interesting products and innovations that Commerce Bank is coming out with in 2016?	0.0
167036 ff47ac8d-c3ba-4c99-8762-43d9630eaa48	What is the difference between traditional and digital cameras?	What is the difference between a dual camera phone and a single camera phone?	0.0
172345 371ca7f0-a0e0-49a7-8559-f58e41018ea0	What happens if I use images from Google for my website without any permissions?	Do I violate the copyrights if I use pictures from Google to my website articles?	1.0
